"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","160","Fake licenseId in array does not cause 5xx","","Tue Feb 24 02:53:00 UTC 2026","passed","Tue Feb 24 02:53:00 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","fakeLicenseIdDoesNotCauseServerError"
"","160","Non-existent licenseId returns 404 (LICENSE_NOT_FOUND)","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentLicenseIdReturns404"
"","285","Mixed licenses: isTransferableBetweenTeams=false stays in source, =true moves to target","","Tue Feb 24 02:52:57 UTC 2026","skipped","Tue Feb 24 02:52:57 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","mixedTransferPartiallySucceeds"
"","153","Invalid API key returns 401","","Tue Feb 24 02:52:59 UTC 2026","passed","Tue Feb 24 02:52:59 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","invalidApiKeyReturns401"
"","1451","Assign by explicit licenseId returns 200 and license is marked ASSIGNED","","Tue Feb 24 02:53:01 UTC 2026","passed","Tue Feb 24 02:53:02 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignByExplicitLicenseIdSucceeds"
"","1","Team admin cannot assign a licenseId that belongs to another team — returns 403","","Tue Feb 24 02:53:08 UTC 2026","skipped","Tue Feb 24 02:53:08 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","foreignLicenseIdReturns403"
"","800","includeOfflineActivationCode=true is accepted (code ignored if account exists)","","Tue Feb 24 02:53:03 UTC 2026","passed","Tue Feb 24 02:53:04 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","includeOfflineActivationCodeTrueIsAccepted"
"","151","Missing licenseIds field returns 400","","Tue Feb 24 02:52:59 UTC 2026","passed","Tue Feb 24 02:52:59 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingLicenseIdsReturns400"
"","157","Non-existent teamId in license.team returns 404 (TEAM_NOT_FOUND)","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:07 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentTeamIdInLicenseReturns404"
"","162","Malformed email returns 400","","Tue Feb 24 02:53:08 UTC 2026","passed","Tue Feb 24 02:53:08 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","malformedEmailReturns400"
"","1094","Transfer single license to TARGET_TEAM returns 200","","Tue Feb 24 02:52:57 UTC 2026","passed","Tue Feb 24 02:52:59 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferSingleLicenseToTargetTeamSucceeds"
"","165","targetTeamId same as source returns 400 or 200 with licenseId not transferred","","Tue Feb 24 02:53:00 UTC 2026","passed","Tue Feb 24 02:53:00 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","sameTargetTeamIdAsSourceIsRejectedOrResultsInNoop"
"","839","Transfer multiple licenses returns 200 and all appear in target team","","Tue Feb 24 02:52:59 UTC 2026","passed","Tue Feb 24 02:53:00 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferMultipleLicensesToTargetTeamSucceeds"
"","154","Invalid API key returns 401","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:07 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidApiKeyReturns401"
"","150","Missing required contact field returns 400 missing contact.firstName returns 400","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:08 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","177","Empty licenseIds array returns 200 with empty licenseIds (no-op)","","Tue Feb 24 02:52:57 UTC 2026","passed","Tue Feb 24 02:52:57 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","emptyLicenseIdsArrayReturnsNoop"
"","167","Missing includeOfflineActivationCode returns 400","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:07 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingIncludeOfflineActivationCodeReturns400"
"","158","Non-existent targetTeamId = 0 returns 404 TEAM_NOT_FOUND","","Tue Feb 24 02:52:57 UTC 2026","passed","Tue Feb 24 02:52:57 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","nonExistentTargetTeamIdReturns404"
"","151","Absent contact object returns 400","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","absentContactObjectReturns400"
"","978","Assign by productCode + teamId returns 200 and license is assigned","","Tue Feb 24 02:53:02 UTC 2026","passed","Tue Feb 24 02:53:03 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignByProductCodeAndTeamIdSucceeds"
"","183","Missing required contact field returns 400 missing contact.email returns 400","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:07 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","794","Assign to existing org member returns 200","","Tue Feb 24 02:53:04 UTC 2026","passed","Tue Feb 24 02:53:05 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignToExistingOrgMemberSucceeds"
"","162","Both licenseId and license provided: licenseId takes precedence, non-existent returns 404","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","bothLicenseIdAndLicenseObjectLicenseIdTakesPrecedence"
"","157","Neither licenseId nor license object returns 400","","Tue Feb 24 02:53:07 UTC 2026","passed","Tue Feb 24 02:53:07 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","neitherLicenseIdNorLicenseReturns400"
"","158","Invalid productCode returns 404 (PRODUCT_NOT_FOUND)","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidProductCodeReturns404"
"","153","Missing X-Api-Key header returns 401","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingApiKeyHeaderReturns401"
"","163","Empty string email returns 400","","Tue Feb 24 02:53:06 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","emptyStringEmailReturns400"
"","149","Missing X-Api-Key header returns 401","","Tue Feb 24 02:53:08 UTC 2026","passed","Tue Feb 24 02:53:09 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","missingApiKeyHeaderReturns401"
"","152","Invalid X-Customer-Code returns 401","","Tue Feb 24 02:53:05 UTC 2026","passed","Tue Feb 24 02:53:06 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidCustomerCodeReturns401"
"","171","Empty JSON body returns 400","","Tue Feb 24 02:52:57 UTC 2026","passed","Tue Feb 24 02:52:57 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","emptyJsonBodyReturns400"
"","155","Valid API key returns 200 with role=ADMIN and non-empty teams","","Tue Feb 24 02:53:09 UTC 2026","passed","Tue Feb 24 02:53:09 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","validApiKeyReturns200WithAdminRoleAndTeams"
"","150","Missing required contact field returns 400 missing contact.lastName returns 400","","Tue Feb 24 02:53:08 UTC 2026","passed","Tue Feb 24 02:53:08 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","157","Missing targetTeamId field defaults to 0 and returns 404 TEAM_NOT_FOUND","","Tue Feb 24 02:52:59 UTC 2026","passed","Tue Feb 24 02:52:59 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingTargetTeamIdReturns404"
