"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Missing required contact field returns 400 missing contact.firstName returns 400","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","141","Absent contact object returns 400","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","absentContactObjectReturns400"
"","142","Invalid API key returns 401","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidApiKeyReturns401"
"","754","includeOfflineActivationCode=true is accepted (code ignored if account exists)","","Tue Feb 24 02:45:46 UTC 2026","passed","Tue Feb 24 02:45:47 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","includeOfflineActivationCodeTrueIsAccepted"
"","762","Assign to existing org member returns 200","","Tue Feb 24 02:45:47 UTC 2026","passed","Tue Feb 24 02:45:48 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignToExistingOrgMemberSucceeds"
"","145","Neither licenseId nor license object returns 400","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","neitherLicenseIdNorLicenseReturns400"
"","147","Invalid productCode returns 404 (PRODUCT_NOT_FOUND)","","Tue Feb 24 02:45:48 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidProductCodeReturns404"
"","142","Missing licenseIds field returns 400","","Tue Feb 24 02:45:42 UTC 2026","passed","Tue Feb 24 02:45:42 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingLicenseIdsReturns400"
"","977","Transfer single license to TARGET_TEAM returns 200","","Tue Feb 24 02:45:41 UTC 2026","passed","Tue Feb 24 02:45:42 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferSingleLicenseToTargetTeamSucceeds"
"","149","Valid API key returns 200 with role=ADMIN and non-empty teams","","Tue Feb 24 02:45:51 UTC 2026","passed","Tue Feb 24 02:45:51 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","validApiKeyReturns200WithAdminRoleAndTeams"
"","321","Mixed licenses: isTransferableBetweenTeams=false stays in source, =true moves to target","","Tue Feb 24 02:45:40 UTC 2026","skipped","Tue Feb 24 02:45:41 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","mixedTransferPartiallySucceeds"
"","2","Team admin cannot assign a licenseId that belongs to another team — returns 403","","Tue Feb 24 02:45:50 UTC 2026","skipped","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","foreignLicenseIdReturns403"
"","155","Missing required contact field returns 400 missing contact.email returns 400","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","144","Invalid X-Customer-Code returns 401","","Tue Feb 24 02:45:48 UTC 2026","passed","Tue Feb 24 02:45:48 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","invalidCustomerCodeReturns401"
"","143","Missing X-Api-Key header returns 401","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingApiKeyHeaderReturns401"
"","154","targetTeamId same as source returns 400 or 200 with licenseId not transferred","","Tue Feb 24 02:45:43 UTC 2026","passed","Tue Feb 24 02:45:43 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","sameTargetTeamIdAsSourceIsRejectedOrResultsInNoop"
"","142","Missing required contact field returns 400 missing contact.lastName returns 400","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingRequiredContactFieldReturns400"
"","796","Transfer multiple licenses returns 200 and all appear in target team","","Tue Feb 24 02:45:42 UTC 2026","passed","Tue Feb 24 02:45:43 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","transferMultipleLicensesToTargetTeamSucceeds"
"","1361","Assign by explicit licenseId returns 200 and license is marked ASSIGNED","","Tue Feb 24 02:45:44 UTC 2026","passed","Tue Feb 24 02:45:45 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignByExplicitLicenseIdSucceeds"
"","148","Non-existent licenseId returns 404 (LICENSE_NOT_FOUND)","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentLicenseIdReturns404"
"","144","Missing X-Api-Key header returns 401","","Tue Feb 24 02:45:51 UTC 2026","passed","Tue Feb 24 02:45:51 UTC 2026","","GET /token — smoke","com.api.testing.smoke.TokenSmokeTest","missingApiKeyHeaderReturns401"
"","153","Fake licenseId in array does not cause 5xx","","Tue Feb 24 02:45:43 UTC 2026","passed","Tue Feb 24 02:45:43 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","fakeLicenseIdDoesNotCauseServerError"
"","151","Missing includeOfflineActivationCode returns 400","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","missingIncludeOfflineActivationCodeReturns400"
"","150","Missing targetTeamId field defaults to 0 and returns 404 TEAM_NOT_FOUND","","Tue Feb 24 02:45:42 UTC 2026","passed","Tue Feb 24 02:45:42 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","missingTargetTeamIdReturns404"
"","162","Empty JSON body returns 400","","Tue Feb 24 02:45:40 UTC 2026","passed","Tue Feb 24 02:45:40 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","emptyJsonBodyReturns400"
"","148","Non-existent teamId in license.team returns 404 (TEAM_NOT_FOUND)","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","nonExistentTeamIdInLicenseReturns404"
"","150","Malformed email returns 400","","Tue Feb 24 02:45:50 UTC 2026","passed","Tue Feb 24 02:45:50 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","malformedEmailReturns400"
"","153","Empty licenseIds array returns 200 with empty licenseIds (no-op)","","Tue Feb 24 02:45:40 UTC 2026","passed","Tue Feb 24 02:45:40 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","emptyLicenseIdsArrayReturnsNoop"
"","149","Non-existent targetTeamId = 0 returns 404 TEAM_NOT_FOUND","","Tue Feb 24 02:45:40 UTC 2026","passed","Tue Feb 24 02:45:40 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","nonExistentTargetTeamIdReturns404"
"","150","Both licenseId and license provided: licenseId takes precedence, non-existent returns 404","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","bothLicenseIdAndLicenseObjectLicenseIdTakesPrecedence"
"","143","Invalid API key returns 401","","Tue Feb 24 02:45:42 UTC 2026","passed","Tue Feb 24 02:45:42 UTC 2026","","POST /customer/changeLicensesTeam","com.api.testing.license.team.ChangeLicensesTeamTest","invalidApiKeyReturns401"
"","153","Empty string email returns 400","","Tue Feb 24 02:45:49 UTC 2026","passed","Tue Feb 24 02:45:49 UTC 2026","","POST /customer/licenses/assign — negative","com.api.testing.license.assign.AssignLicenseNegativeTest","emptyStringEmailReturns400"
"","966","Assign by productCode + teamId returns 200 and license is assigned","","Tue Feb 24 02:45:45 UTC 2026","passed","Tue Feb 24 02:45:46 UTC 2026","","POST /customer/licenses/assign — positive","com.api.testing.license.assign.AssignLicensePositiveTest","assignByProductCodeAndTeamIdSucceeds"
